date,resid
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,0.03563664412397019
2010-08-01,0.08680441815204572
2010-09-01,-0.0002888545810514481
2010-10-01,-0.005971052689709523
2010-11-01,0.010657850450853976
2010-12-01,-0.0481412881335817
2011-01-01,-0.1242351848322787
2011-02-01,-0.009006625213804714
2011-03-01,-0.06403562877462465
2011-04-01,0.11753070419576817
2011-05-01,0.12027529581834169
2011-06-01,-0.001484154936858665
2011-07-01,-0.04640925930234216
2011-08-01,-0.10707980333039617
2011-09-01,0.13616843006784685
2011-10-01,0.1971890011818044
2011-11-01,-0.00034399687271581547
2011-12-01,0.07749710129598637
2012-01-01,-0.22681028113681978
2012-02-01,-0.04570344452889433
2012-03-01,0.07359123788486355
2012-04-01,0.09264372381828012
2012-05-01,-0.06087447159660901
2012-06-01,0.09100623282969417
2012-07-01,-0.10543141147037557
2012-08-01,0.0017163392260112903
2012-09-01,0.07902846545594776
2012-10-01,0.0674479043022839
2012-11-01,0.037982577501842404
2012-12-01,0.0671206710617835
2013-01-01,-0.1178472748960775
2013-02-01,-0.15984180378825133
2013-03-01,-0.05789181055103998
2013-04-01,0.03390580103078678
2013-05-01,0.04219930959013492
2013-06-01,-0.0005295155223283311
2013-07-01,0.024433358663033446
2013-08-01,0.07717172589910289
2013-09-01,-0.03234767960194852
2013-10-01,-0.0011981769345584606
2013-11-01,0.026070011573870663
2013-12-01,0.08682956650314506
2014-01-01,-0.1087136271792122
2014-02-01,-0.038926070317420486
2014-03-01,-0.10830061420717274
2014-04-01,-0.05481923393811582
2014-05-01,0.0866620598996057
2014-06-01,0.09087363576694935
2014-07-01,0.15126359819108062
2014-08-01,-0.054635120977028204
2014-09-01,-0.08230813385999704
2014-10-01,-0.023210477420122146
2014-11-01,-0.14073001186868417
2014-12-01,0.1345763619831683
2015-01-01,0.06619691420112271
2015-02-01,-0.10588699265546811
2015-03-01,0.007490481861915699
2015-04-01,-0.08558385294204796
2015-05-01,0.031161292392265904
2015-06-01,0.016430809948682786
2015-07-01,0.04282181672599153
2015-08-01,0.06825706496612267
2015-09-01,0.011845944320298604
2015-10-01,-0.005021729967716083
2015-11-01,-0.1226012543843077
2015-12-01,-0.03159999479530345
2016-01-01,0.11591927898484154
2016-02-01,-0.013173323557002764
2016-03-01,-0.048506854921014364
2016-04-01,0.027624762305389246
2016-05-01,-0.00970571037078476
2016-06-01,-0.01628810428659228
2016-07-01,-0.037313492704681844
2016-08-01,-0.043125109688208194
2016-09-01,0.05157940256564962
2016-10-01,-0.017969244955459686
2016-11-01,-0.016860315826627295
2016-12-01,0.19623185070786459
2017-01-01,0.04803029824876258
2017-02-01,-0.0766102683533322
2017-03-01,-0.01591522031455983
2017-04-01,-0.15938397496205836
2017-05-01,0.04762296864356226
2017-06-01,0.07477859301611539
2017-07-01,0.06780135124321321
2017-08-01,-0.05726724875905691
2017-09-01,-0.052760523127674555
2017-10-01,-0.08574114423680643
2017-11-01,0.02589701894438355
2017-12-01,0.040469239925802154
2018-01-01,0.10022532922769155
2018-02-01,0.007528279877884042
2018-03-01,0.04018933949153447
2018-04-01,-0.04177070802093096
2018-05-01,-0.02438304250175709
2018-06-01,-0.018571035706291986
2018-07-01,0.047735479380493634
2018-08-01,-0.046459123453803694
2018-09-01,-0.06207482107552033
2018-10-01,-0.006612699044780214
2018-12-01,0.01866035853876645
2019-01-01,-0.09149524738011254
2019-02-01,0.1274354568776641
2019-03-01,-0.010385740177651176
2019-04-01,0.05018385354805699
2019-05-01,0.06176793184784247
2019-06-01,0.023413384096333045
2019-07-01,0.0266868857034222
2019-08-01,0.0010679823241248852
2019-09-01,0.04687900186023737
2019-10-01,0.020577101621937918
2019-11-01,0.04914803188895402
2019-12-01,0.048982970510684884
2020-01-01,0.04906560995801041
2020-02-01,0.02647324619189216
2020-03-01,0.007685766324565829
2020-04-01,0.07971291742168174
2020-05-01,-0.040727826663069615
2020-06-01,-0.14781571265973886
2020-07-01,-0.14570471097837617
2020-08-01,-0.05132570472542694
2020-09-01,-0.017553273319773008
2020-10-01,0.11473529960922156
2020-11-01,-0.0723963358568088
2020-12-01,0.08214562736742358
2021-01-01,-0.18471374294317006
2021-02-01,-0.14524799477671624
2021-03-01,0.0028589921104920923
2021-04-01,-0.04018617491578058
2021-05-01,-0.03459161049310621
2021-06-01,0.02285220567268804
2021-07-01,0.10907751237037183
2021-08-01,0.10183111014367244
2021-09-01,-0.00469326063516777
2021-10-01,0.01830078077953977
2021-11-01,-0.09555832809028461
2021-12-01,-0.06569520861720769
2022-01-01,-0.1567986167343594
2022-02-01,0.16869367960433945
2022-03-01,0.20804014825945213
2022-04-01,-0.00838560898219387
2022-05-01,0.13369050501499247
2022-06-01,-0.02011270972535688
2022-07-01,-0.12110912628189147
2022-08-01,-0.010785689532587937
2022-09-01,-0.03293527795556232
2022-10-01,-0.08378055058531055
2022-11-01,0.001685568477853082
2022-12-01,0.0008717773252079203
2023-01-01,-0.053053036138865965
2023-02-01,0.06631759947011172
2023-03-01,0.13777196135279265
2023-04-01,0.01879565205734335
2023-05-01,0.0950202122421574
2023-06-01,-0.02227009004152696
2023-07-01,0.028091339794410083
2023-08-01,-0.05384969883561849
2023-09-01,0.022218073991905077
2023-10-01,-0.1051601507450436
2023-11-01,-0.005605837862376319
2023-12-01,0.03780473235057889
2024-01-01,0.04205675644459856
2024-02-01,-0.014276018505227098
2024-03-01,0.06284746497194046
2024-04-01,0.12623967773760936
2024-05-01,-0.10788601215538718
