date,seasonal
2010-01-01,-0.1077879757423059
2010-02-01,-0.12777375004911104
2010-03-01,-0.05034443821745893
2010-04-01,0.006548154061125739
2010-05-01,0.028908302155787925
2010-06-01,-0.007585093287697128
2010-07-01,-0.021591804120214577
2010-08-01,0.03366291646021895
2010-09-01,0.09653677511115512
2010-10-01,0.05615837192604576
2010-11-01,0.08083573284420077
2010-12-01,0.01243280885825331
2011-01-01,-0.1077879757423059
2011-02-01,-0.12777375004911104
2011-03-01,-0.05034443821745893
2011-04-01,0.006548154061125739
2011-05-01,0.028908302155787925
2011-06-01,-0.007585093287697128
2011-07-01,-0.021591804120214577
2011-08-01,0.03366291646021895
2011-09-01,0.09653677511115512
2011-10-01,0.05615837192604576
2011-11-01,0.08083573284420077
2011-12-01,0.01243280885825331
2012-01-01,-0.1077879757423059
2012-02-01,-0.12777375004911104
2012-03-01,-0.05034443821745893
2012-04-01,0.006548154061125739
2012-05-01,0.028908302155787925
2012-06-01,-0.007585093287697128
2012-07-01,-0.021591804120214577
2012-08-01,0.03366291646021895
2012-09-01,0.09653677511115512
2012-10-01,0.05615837192604576
2012-11-01,0.08083573284420077
2012-12-01,0.01243280885825331
2013-01-01,-0.1077879757423059
2013-02-01,-0.12777375004911104
2013-03-01,-0.05034443821745893
2013-04-01,0.006548154061125739
2013-05-01,0.028908302155787925
2013-06-01,-0.007585093287697128
2013-07-01,-0.021591804120214577
2013-08-01,0.03366291646021895
2013-09-01,0.09653677511115512
2013-10-01,0.05615837192604576
2013-11-01,0.08083573284420077
2013-12-01,0.01243280885825331
2014-01-01,-0.1077879757423059
2014-02-01,-0.12777375004911104
2014-03-01,-0.05034443821745893
2014-04-01,0.006548154061125739
2014-05-01,0.028908302155787925
2014-06-01,-0.007585093287697128
2014-07-01,-0.021591804120214577
2014-08-01,0.03366291646021895
2014-09-01,0.09653677511115512
2014-10-01,0.05615837192604576
2014-11-01,0.08083573284420077
2014-12-01,0.01243280885825331
2015-01-01,-0.1077879757423059
2015-02-01,-0.12777375004911104
2015-03-01,-0.05034443821745893
2015-04-01,0.006548154061125739
2015-05-01,0.028908302155787925
2015-06-01,-0.007585093287697128
2015-07-01,-0.021591804120214577
2015-08-01,0.03366291646021895
2015-09-01,0.09653677511115512
2015-10-01,0.05615837192604576
2015-11-01,0.08083573284420077
2015-12-01,0.01243280885825331
2016-01-01,-0.1077879757423059
2016-02-01,-0.12777375004911104
2016-03-01,-0.05034443821745893
2016-04-01,0.006548154061125739
2016-05-01,0.028908302155787925
2016-06-01,-0.007585093287697128
2016-07-01,-0.021591804120214577
2016-08-01,0.03366291646021895
2016-09-01,0.09653677511115512
2016-10-01,0.05615837192604576
2016-11-01,0.08083573284420077
2016-12-01,0.01243280885825331
2017-01-01,-0.1077879757423059
2017-02-01,-0.12777375004911104
2017-03-01,-0.05034443821745893
2017-04-01,0.006548154061125739
2017-05-01,0.028908302155787925
2017-06-01,-0.007585093287697128
2017-07-01,-0.021591804120214577
2017-08-01,0.03366291646021895
2017-09-01,0.09653677511115512
2017-10-01,0.05615837192604576
2017-11-01,0.08083573284420077
2017-12-01,0.01243280885825331
2018-01-01,-0.1077879757423059
2018-02-01,-0.12777375004911104
2018-03-01,-0.05034443821745893
2018-04-01,0.006548154061125739
2018-05-01,0.028908302155787925
2018-06-01,-0.007585093287697128
2018-07-01,-0.021591804120214577
2018-08-01,0.03366291646021895
2018-09-01,0.09653677511115512
2018-10-01,0.05615837192604576
2018-12-01,0.08083573284420077
2019-01-01,0.01243280885825331
2019-02-01,-0.1077879757423059
2019-03-01,-0.12777375004911104
2019-04-01,-0.05034443821745893
2019-05-01,0.006548154061125739
2019-06-01,0.028908302155787925
2019-07-01,-0.007585093287697128
2019-08-01,-0.021591804120214577
2019-09-01,0.03366291646021895
2019-10-01,0.09653677511115512
2019-11-01,0.05615837192604576
2019-12-01,0.08083573284420077
2020-01-01,0.01243280885825331
2020-02-01,-0.1077879757423059
2020-03-01,-0.12777375004911104
2020-04-01,-0.05034443821745893
2020-05-01,0.006548154061125739
2020-06-01,0.028908302155787925
2020-07-01,-0.007585093287697128
2020-08-01,-0.021591804120214577
2020-09-01,0.03366291646021895
2020-10-01,0.09653677511115512
2020-11-01,0.05615837192604576
2020-12-01,0.08083573284420077
2021-01-01,0.01243280885825331
2021-02-01,-0.1077879757423059
2021-03-01,-0.12777375004911104
2021-04-01,-0.05034443821745893
2021-05-01,0.006548154061125739
2021-06-01,0.028908302155787925
2021-07-01,-0.007585093287697128
2021-08-01,-0.021591804120214577
2021-09-01,0.03366291646021895
2021-10-01,0.09653677511115512
2021-11-01,0.05615837192604576
2021-12-01,0.08083573284420077
2022-01-01,0.01243280885825331
2022-02-01,-0.1077879757423059
2022-03-01,-0.12777375004911104
2022-04-01,-0.05034443821745893
2022-05-01,0.006548154061125739
2022-06-01,0.028908302155787925
2022-07-01,-0.007585093287697128
2022-08-01,-0.021591804120214577
2022-09-01,0.03366291646021895
2022-10-01,0.09653677511115512
2022-11-01,0.05615837192604576
2022-12-01,0.08083573284420077
2023-01-01,0.01243280885825331
2023-02-01,-0.1077879757423059
2023-03-01,-0.12777375004911104
2023-04-01,-0.05034443821745893
2023-05-01,0.006548154061125739
2023-06-01,0.028908302155787925
2023-07-01,-0.007585093287697128
2023-08-01,-0.021591804120214577
2023-09-01,0.03366291646021895
2023-10-01,0.09653677511115512
2023-11-01,0.05615837192604576
2023-12-01,0.08083573284420077
2024-01-01,0.01243280885825331
2024-02-01,-0.1077879757423059
2024-03-01,-0.12777375004911104
